density,defector_frac,neighbourhood_count,activation_rate,H_tail_mean,H_tail_std,morans_I_mean,morans_I_std,nb_variance_mean,nb_variance_std,steps_mean,n_seeds
0.05,0.0,26,0.4444,0.8751747121392232,0.02764979773064304,0.6182675395682957,0.1605128673941908,0.6335549157422597,0.07054371918122528,470.7,10
0.05,0.0,26,0.5556,0.8890162896424396,0.0361191861205207,0.6756046384639426,0.14298979935091027,0.716805076850026,0.08425016556734152,449.8,10
0.05,0.0,26,0.6667,0.8744701333415511,0.0441669768603778,0.6345482267142815,0.1894188194739017,0.6819475432869313,0.13959298896201386,461.5,10
0.05,0.0,26,0.7778,0.880356049676658,0.037271304457935674,0.6142665444010929,0.14852394826927587,0.6832161753566612,0.10401627736181135,402.7,10
0.05,0.0,26,0.8889,0.8750701693573625,0.03616048555837325,0.6780204933812903,0.1496699540846286,0.663151443819672,0.07392017826825846,393.2,10
0.05,0.0,26,1.0,0.8708674649531638,0.03800121096202406,0.59334057950103,0.11197772406132543,0.7040206262142974,0.1270646448295793,386.2,10
0.05,0.0,48,0.0,0.3604640312442381,0.039715671599731196,0.038153381509677745,0.1382404858010526,0.5033603948946561,0.05892943906527934,150.0,10
0.05,0.0,48,0.1111,0.8879297487329738,0.03303843908831262,0.7868772073804583,0.11538213430391867,0.7485168139954662,0.09859826788514638,474.9,10
0.05,0.0,48,0.2222,0.8841155631894685,0.032735065105522584,0.6283339582079728,0.16333530108019745,0.7657742645197452,0.09581876236483619,450.6,10
0.05,0.0,48,0.3333,0.8823647363257425,0.03171422098644307,0.6972255164790038,0.12952186561921403,0.6791875945712763,0.10485590984867739,490.1,10
0.05,0.0,48,0.4444,0.8842492505325714,0.042528402460833246,0.68629271707317,0.15282373330052815,0.7199658268163893,0.1439065968911047,465.7,10
0.05,0.0,48,0.5556,0.8780965203477542,0.04006555594916945,0.6917396578910113,0.12359682309935112,0.6884862895908157,0.10449662796947701,390.3,10
0.05,0.0,48,0.6667,0.88771908332859,0.04091536377036512,0.6839971650526746,0.1612825115310863,0.7566236134094185,0.10425668664353503,450.9,10
0.05,0.0,48,0.7778,0.8980863396764216,0.031539116278105246,0.6579948923147882,0.1462170648254501,0.7158267709613633,0.12551844570545115,400.6,10
0.05,0.0,48,0.8889,0.8930920750587618,0.024899853597950394,0.6792529277985155,0.15532965011763344,0.7065435585529439,0.07390853615287461,353.9,10
0.05,0.0,48,1.0,0.8898025840618914,0.05274376182981242,0.679633630173737,0.1559722891061412,0.710620561524683,0.12895066776544656,434.8,10
0.05,0.0,70,0.0,0.48182741462354617,0.040184610231996695,0.0733537028312689,0.1662529239993364,0.5926371106320921,0.07402660550885332,150.0,10
0.05,0.0,70,0.1111,0.8927033814120809,0.02554497894308964,0.755524253885784,0.08634737977859881,0.7302630001482819,0.09932723716915774,481.0,10
0.05,0.0,70,0.2222,0.8972270934446858,0.031312986211911226,0.6774493033114867,0.12023031818484561,0.8087305227618206,0.10526386777427943,485.1,10
0.05,0.0,70,0.3333,0.8923965991483808,0.02664201305871977,0.6621868822623671,0.08649403036175517,0.7454304987784508,0.1005113001908001,418.9,10
0.05,0.0,70,0.4444,0.9015260167093195,0.029469150429371097,0.7363978368896776,0.0937166814084181,0.7134476625921378,0.09134957171251229,407.1,10
0.05,0.0,70,0.5556,0.8977452983354942,0.021799283523887644,0.6607201040784499,0.09797780554178527,0.7597876250194371,0.1049372312081677,413.9,10
0.05,0.0,70,0.6667,0.9035086333331339,0.023493531231709892,0.7029130271489659,0.08820057669312265,0.785241647459099,0.03984063229953968,375.4,10
0.05,0.0,70,0.7778,0.8878891461050096,0.026925219822599697,0.6415526225264737,0.08819811578532709,0.7810107238329804,0.0926440204950501,430.5,10
0.05,0.0,70,0.8889,0.900078742136041,0.03857520723201247,0.7270975740898906,0.10745042679362563,0.6871771165390802,0.09068882149631263,413.7,10
0.05,0.0,70,1.0,0.8981596479336332,0.0268487344344643,0.7365057422763548,0.08748349318277662,0.7084724365734164,0.10274873951107354,401.9,10
0.05,0.0,91,0.0,0.5462703505871507,0.03886168372691136,0.05805930911732833,0.10161491027112732,0.6301182636824991,0.06547910975824045,150.0,10
